City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
81,Torbay,CA,47.67,-52.73,50.0,87,75,23.04,broken clouds
82,Busselton,AU,-33.65,115.33,45.0,91,6,7.9,clear sky
83,Arrecife,ES,28.96,-13.55,66.2,68,40,10.29,scattered clouds
84,Salalah,OM,17.02,54.09,77.0,73,20,3.36,few clouds
85,Cabo San Lucas,MX,22.89,-109.91,84.2,61,20,11.41,few clouds
86,Alice Springs,AU,-23.7,133.88,91.0,17,0,6.93,clear sky
87,Severo-Kurilsk,RU,50.68,156.12,27.57,90,90,21.43,overcast clouds
88,Katsuura,JP,35.13,140.3,51.8,81,20,9.17,few clouds
89,Monywa,MM,22.12,95.13,64.67,73,0,4.43,clear sky
90,Tuktoyaktuk,CA,69.45,-133.04,3.2,84,90,4.7,overcast clouds
91,Ruteng,ID,-8.61,120.47,64.92,100,100,1.7,overcast clouds
92,Ahuimanu,US,21.44,-157.84,82.4,69,40,16.11,scattered clouds
93,Pangnirtung,CA,66.15,-65.71,17.6,61,90,5.82,overcast clouds
94,Kahului,US,20.89,-156.47,80.6,57,40,20.8,scattered clouds
95,Mazamari,PE,-11.33,-74.53,80.35,66,100,1.39,light rain
96,Daryapur,IN,20.93,77.33,65.28,79,93,6.51,overcast clouds
97,Shellbrook,CA,53.22,-106.4,39.2,55,75,13.87,broken clouds
98,Ostroleka,PL,53.09,21.58,37.99,82,88,3.0,overcast clouds
99,Sao Joao Da Barra,BR,-21.64,-41.05,78.8,74,0,16.11,clear sky
100,Port Alfred,ZA,-33.59,26.89,64.15,76,75,26.28,broken clouds
101,Provideniya,RU,64.38,-173.3,24.84,96,70,12.73,broken clouds
102,East London,ZA,-33.02,27.91,64.51,76,93,20.0,overcast clouds
103,Bethel,US,41.37,-73.41,54.0,71,90,5.46,overcast clouds
104,Rabaul,PG,-4.2,152.17,82.53,74,97,4.85,light rain
105,Katiola,CI,8.13,-5.1,80.6,69,75,4.7,broken clouds
106,Khatanga,RU,71.97,102.5,13.91,96,98,15.68,overcast clouds
107,Saint-Philippe,RE,-21.36,55.77,75.2,73,75,2.24,broken clouds
108,Taoudenni,ML,22.68,-3.98,65.53,37,87,10.2,overcast clouds
109,Mount Hagen,PG,-5.86,144.23,62.6,93,75,4.7,fog
110,Vicuna,CL,-30.03,-70.71,78.01,37,0,1.99,clear sky
111,Lebu,CL,-37.62,-73.65,57.58,73,27,8.95,scattered clouds
112,Buala,SB,-8.14,159.59,84.51,70,91,7.61,overcast clouds
113,Norman Wells,CA,65.28,-126.83,-0.4,84,75,3.36,broken clouds
114,Preili,LV,56.29,26.72,29.48,98,87,6.53,overcast clouds
115,Praya,CV,14.92,-23.51,75.2,64,40,16.11,scattered clouds
116,Zhuhai,CN,22.28,113.57,64.4,77,20,24.16,few clouds
117,Patan,NP,27.67,85.33,44.6,93,20,2.24,mist
118,Vardo,NO,70.37,31.11,30.2,80,0,35.57,clear sky
119,Batagay-Alyta,RU,67.8,130.41,3.11,87,100,3.53,overcast clouds
120,Yellowknife,CA,62.46,-114.35,5.0,77,40,16.11,scattered clouds
121,Alot,IN,23.77,75.55,57.24,52,0,7.11,clear sky
122,Upernavik,GL,72.79,-56.15,0.66,82,0,7.02,clear sky
123,Kruisfontein,ZA,-34.0,24.73,64.0,75,95,5.01,overcast clouds
124,Tres Arroyos,AR,-38.37,-60.28,85.48,27,0,16.71,clear sky
125,Narsaq,GL,60.92,-46.05,21.2,48,100,11.41,overcast clouds
126,Yelizovo,RU,53.19,158.38,14.0,92,45,4.47,scattered clouds
127,Sistranda,NO,63.73,8.83,35.6,80,0,17.22,clear sky
128,Whitehorse,CA,60.72,-135.05,12.99,85,75,3.36,broken clouds
129,Tecoanapa,MX,16.52,-98.75,84.38,70,2,10.09,clear sky
130,Novomikhaylovskiy,RU,44.26,38.86,49.28,75,31,7.72,scattered clouds
131,Cape Town,ZA,-33.93,18.42,66.2,59,0,12.75,clear sky
132,Sitka,US,57.05,-135.33,37.4,74,90,4.07,overcast clouds
133,Bar Harbor,US,44.39,-68.2,50.0,87,90,5.86,overcast clouds
134,Komsomolskiy,UZ,40.43,71.72,37.4,64,100,4.7,mist
135,Lamar,US,33.67,-95.58,63.0,51,20,12.75,few clouds
136,Lagoa,PT,39.05,-27.98,57.15,65,83,27.92,broken clouds
137,Jinxiang,CN,27.43,120.61,58.68,70,95,12.95,overcast clouds
138,Bambous Virieux,MU,-20.34,57.76,75.2,83,75,11.41,shower rain
139,Raga,SS,8.46,25.68,75.27,27,0,4.7,clear sky
140,Cherskiy,RU,68.75,161.3,7.57,91,9,5.97,clear sky
141,Keflavik,IS,64.0,-22.56,33.8,64,75,38.03,broken clouds
142,Fortuna,US,40.6,-124.16,62.01,54,33,1.99,scattered clouds
143,Thompson,CA,55.74,-97.86,17.6,85,90,8.05,overcast clouds
144,Lapeer,US,43.05,-83.32,42.8,81,90,5.82,overcast clouds
145,Butaritari,KI,3.07,172.79,81.75,74,42,14.85,scattered clouds
146,Sawakin,SD,19.11,37.33,78.06,73,90,12.39,light rain
147,Castro,BR,-24.79,-50.01,65.55,93,100,5.03,light rain
148,Macusani,PE,-14.08,-70.43,40.32,81,100,9.06,light rain
149,Isangel,VU,-19.55,169.27,78.8,69,20,5.82,few clouds
150,Santa Cruz Del Sur,CU,20.71,-78.0,79.48,77,2,12.17,clear sky
151,Saldanha,ZA,-33.01,17.94,66.2,55,100,5.82,overcast clouds
152,Virginia Beach,US,36.85,-75.98,61.0,82,90,9.17,mist
153,Puerto Ayora,EC,-0.74,-90.35,78.8,69,20,18.34,few clouds
154,Bredasdorp,ZA,-34.53,20.04,64.4,68,100,13.87,overcast clouds
155,Kurilsk,RU,45.23,147.88,31.48,95,91,3.33,overcast clouds
156,Hobart,AU,-42.88,147.33,62.01,55,75,10.29,broken clouds
157,Vegreville,CA,53.5,-112.05,35.6,50,67,6.93,broken clouds
158,Olean,US,42.08,-78.43,46.0,78,90,5.82,overcast clouds
159,Nabire,ID,-3.37,135.48,76.35,92,100,0.92,moderate rain
160,Fort Wellington,GY,6.4,-57.6,78.98,83,5,9.24,clear sky
161,Badou,TG,7.58,0.6,74.8,81,59,2.28,broken clouds
162,Darnah,LY,32.77,22.64,62.08,67,45,6.96,scattered clouds
163,Morada Nova,BR,-5.11,-38.37,83.1,62,100,10.63,overcast clouds
164,Paramonga,PE,-10.67,-77.83,67.96,73,17,6.98,few clouds
165,Westport,US,41.14,-73.36,57.2,71,90,7.96,overcast clouds
166,Henties Bay,NA,-22.12,14.28,60.01,89,45,4.18,scattered clouds
167,Waipawa,NZ,-41.41,175.52,55.99,71,25,13.87,scattered clouds
168,Auburn,US,47.31,-122.23,53.01,71,75,5.82,broken clouds
169,Adrar,MR,20.5,-10.07,63.05,41,22,8.46,few clouds
170,Tiksi,RU,71.69,128.87,0.97,92,90,7.0,overcast clouds
171,Pangody,RU,65.85,74.49,1.51,94,98,7.63,overcast clouds
172,Finschhafen,PG,-6.6,147.87,78.1,80,100,4.0,light rain
173,Salinas,US,36.68,-121.66,68.0,19,1,9.17,clear sky
174,Ponta Do Sol,PT,32.67,-17.1,62.6,77,40,16.11,scattered clouds
175,Merauke,ID,-8.47,140.33,79.2,82,100,6.51,overcast clouds
176,Labytnangi,RU,66.66,66.42,1.47,92,14,6.62,few clouds
177,Dikson,RU,73.51,80.55,25.65,99,100,18.59,snow
178,Hami,CN,42.8,93.45,20.19,80,7,2.08,clear sky
179,San Joaquin,US,37.93,-121.3,63.0,25,1,5.82,clear sky
180,Olinda,BR,-8.01,-34.86,78.8,65,40,11.41,scattered clouds
181,Luba,GQ,3.46,8.55,79.86,79,25,5.23,light rain
182,Ahipara,NZ,-35.17,173.17,61.84,60,12,14.74,few clouds
183,Saurimo,AO,-9.66,20.39,64.71,97,94,3.24,overcast clouds
184,Izhma,RU,65.01,53.91,15.1,96,0,3.74,clear sky
185,Barabinsk,RU,55.36,78.36,2.62,94,15,5.5,few clouds
186,Muros,ES,42.78,-9.06,45.0,77,0,3.0,clear sky
187,Dudinka,RU,69.41,86.18,10.42,95,100,15.97,overcast clouds
188,Samarai,PG,-10.62,150.67,80.15,79,74,4.41,broken clouds
189,Kyren,RU,51.68,102.14,6.17,83,2,0.2,clear sky
190,Ginir,ET,7.13,40.7,56.91,90,18,3.58,few clouds
191,Minna,NG,9.61,6.56,79.66,45,1,1.92,clear sky
192,Sheltozero,RU,61.37,35.37,31.12,96,100,14.61,overcast clouds
193,Port Hedland,AU,-20.32,118.57,78.8,88,0,8.05,clear sky
194,Lompoc,US,34.64,-120.46,66.2,25,1,8.05,clear sky
195,Kokstad,ZA,-30.55,29.42,54.14,86,97,5.39,overcast clouds
196,Lysychovo,UA,48.5,23.29,29.44,96,98,1.66,overcast clouds
197,Sabha,LY,27.04,14.43,57.02,39,0,11.79,clear sky
198,Chokurdakh,RU,70.63,147.92,-8.32,92,100,3.85,overcast clouds
199,Sibiti,CG,-3.68,13.35,70.03,99,100,2.35,light rain
200,Palana,RU,59.12,159.97,8.28,94,93,5.03,overcast clouds
201,Haines Junction,CA,60.75,-137.51,12.2,78,100,3.36,overcast clouds
202,Kavieng,PG,-2.57,150.8,83.34,76,97,14.58,light rain
203,Bengkulu,ID,-3.8,102.27,74.89,87,75,4.18,moderate rain
204,Emerald,AU,-23.53,148.17,75.2,64,90,14.99,overcast clouds
205,East Wenatchee Bench,US,47.43,-120.28,39.0,63,90,4.7,mist
206,Naze,JP,28.37,129.48,68.0,77,75,23.04,broken clouds
207,Tagusao,PH,9.19,117.81,80.22,79,100,3.91,overcast clouds
208,Nicoya,CR,10.15,-85.45,86.0,62,40,11.41,scattered clouds
209,Olafsvik,IS,64.89,-23.71,33.78,84,96,45.63,light rain
